"","Year","Winner","Condition","Speed"
"1",1896,"Ben Brush","good",51.663405
"2",1897,"Typhoon II","slow",49.81132
"3",1898,"Plaudit","good",51.16279
"4",1899,"Manuel","fast",50
"5",1900,"Lieut. Gibson","fast",52.27723
"6",1901,"His Eminence","fast",51.663405
"7",1902,"Alan-a-Dale","fast",51.262135
"8",1903,"Judge Himes","fast",51.16279
"9",1904,"Elwood","fast",51.36187
"10",1905,"Agile","slow",50.47801
"11",1906,"Sir Huon","fast",51.242235
"12",1907,"Pink Star","slow",49.773755
"13",1908,"Stone Street","slow",48.81657
"14",1909,"Wintergreen","slow",51.48206
"15",1910,"Donau","fast",52.21519
"16",1911,"Meridian","fast",52.8
"17",1912,"Worth","slow",51.004635
"18",1913,"Donerail","fast",52.884615
"19",1914,"Old Rosebud","fast",53.484605
"20",1915,"Regret","fast",52.63158
"21",1916,"George Smith","fast",53.225805
"22",1917,"*Omar Khayyam","fast",52.9695
"23",1918,"Exterminator","slow",50.458715
"24",1919,"Sir Barton","slow",50.84746
"25",1920,"Paul Jones","slow",51.16279
"26",1921,"Behave Yourself","fast",53.140095
"27",1922,"Morvich","fast",52.9695
"28",1923,"Zev","fast",52.63158
"29",1924,"Black Gold","fast",52.715655
"30",1925,"Flying Ebony","slow",51.72414
"31",1926,"Bubbling Over","fast",53.311795
"32",1927,"Whiskery","slow",52.38095
"33",1928,"Reigh Count","slow",50.613495
"34",1929,"Clyde Van Dusen","slow",50.458715
"35",1930,"Gallant Fox","good",51.72414
"36",1931,"Twenty Grand","fast",54.18719
"37",1932,"Burgoo King","fast",52.715655
"38",1933,"Brokers Tip","good",52.050475
"39",1934,"Cavalcade","fast",53.225805
"40",1935,"Omaha","good",52.8
"41",1936,"Bold Venture","fast",53.658535
"42",1937,"War Admiral","fast",53.57143
"43",1938,"Lawrin","fast",52.884615
"44",1939,"Johnstown","fast",53.484605
"45",1940,"Gallahadion","fast",52.8
"46",1941,"Whirlaway","fast",54.365735
"47",1942,"Shut Out","fast",53.05466
"48",1943,"Count Fleet","fast",53.225805
"49",1944,"Pensive","good",53.140095
"50",1945,"Hoop Jr.","slow",51.968505
"51",1946,"Assault","slow",52.1327
"52",1947,"Jet Pilot","slow",52.050475
"53",1948,"Citation","slow",52.63158
"54",1949,"Ponder","fast",53.140095
"55",1950,"Middleground","fast",54.276315
"56",1951,"Count Turf","fast",53.833605
"57",1952,"Hill Gail","fast",54.276315
"58",1953,"Dark Star","fast",54.09836
"59",1954,"Determine","fast",53.658535
"60",1955,"Swaps","fast",54.18719
"61",1956,"Needles","fast",53.484605
"62",1957,"Iron Liege","fast",54.00982
"63",1958,"Tim Tam","slow",52.8
"64",1959,"*Tomy Lee","fast",54.00982
"65",1960,"Venetian Way","good",53.92157
"66",1961,"Carry Back","good",53.225805
"67",1962,"Decidedly","fast",54.817275
"68",1963,"Chateaugay","fast",54.545455
"69",1964,"Northern Dancer","fast",55
"70",1965,"Lucky Debonair","fast",54.455445
"71",1966,"Kauai King","fast",54.09836
"72",1967,"Proud Clarion","fast",54.72637
"73",1968,"Forward Pass**","fast",54.00982
"74",1969,"Majestic Prince","fast",54.18719
"75",1970,"Dust Commander","good",53.484605
"76",1971,"Canonero II","fast",53.57143
"77",1972,"Riva Ridge","fast",54.18719
"78",1973,"Secretariat","fast",55.27638
"79",1974,"Cannonade","fast",53.225805
"80",1975,"Foolish Pleasure","fast",54.09836
"81",1976,"Bold Forbes","fast",54.276315
"82",1977,"Seattle Slew","fast",54.00982
"83",1978,"Affirmed","fast",54.455445
"84",1979,"Spectacular Bid","fast",53.92157
"85",1980,"Genuine Risk","fast",54.09836
"86",1981,"Pleasant Colony","fast",54.09836
"87",1982,"Gato Del Sol","fast",53.92157
"88",1983,"Sunny's Halo","fast",53.92157
"89",1984,"Swale","fast",53.92157
"90",1985,"Spend a Buck","fast",54.908485
"91",1986,"Ferdinand","fast",53.74593
"92",1987,"Alysheba","fast",53.484605
"93",1988,"Winning Colors","fast",54.00982
"94",1989,"Sunday Silence","slow",52.8
"95",1990,"Unbridled","good",54.09836
"96",1991,"Strike the Gold","fast",53.658535
"97",1992,"Lil E. Tee","fast",53.658535
"98",1993,"Sea Hero","fast",53.92157
"99",1994,"Go for Gin","slow",53.39806
"100",1995,"Thunder Gulch","fast",54.455445
"101",1996,"Grindstone","fast",54.545455
"102",1997,"Silver Charm","fast",53.92157
"103",1998,"Real Quiet","fast",54.00982
"104",1999,"Charismatic","fast",53.658535
"105",2000,"Fusaichi Pegasus","fast",54.49
